title,artist,album,album_cover,duration_ms,uri
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,228965,spotify:track:6dODwocEuGzHAavXqTbwHv
The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,293048,spotify:track:4PdLaGZubp4lghChqp8erB
My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,203801,spotify:track:7uGYWMwRy24dm7RUDDhUlD
Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,261228,spotify:track:1kbEbBdEgQdQeLXCJh28pJ
"So Long, London",Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,262974,spotify:track:7wAkQFShJ27V8362MqevQr
But Daddy I Love Him,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,340428,spotify:track:4QMgEffJQuKtjCNvqfRZ0m
Fresh Out The Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,210789,spotify:track:7IWcDWOfiooH5hRs9XOVYz
Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,215463,spotify:track:5ExOm0dh4NyRyAdSAO9hyM
Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,254365,spotify:track:799KrpEbhZp0MHeiA8YK9P
Who’s Afraid of Little Old Me?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,334084,spotify:track:2d8UxVNhJinc8uat9PoM9y
I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,156297,spotify:track:5chnRTB9qMK3W1M41SnU9s
loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,277156,spotify:track:3YkNIrAvbKNrrwwEd7NVLl
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,218004,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8
The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,245541,spotify:track:1xtw1krCR6Dw2KwkXw5z63
The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,196900,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ
Clara Bow,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,216662,spotify:track:4d9PtIEVij9jW5OaLinH66
The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,238857,spotify:track:62E2nR0od0M5HYxuYLaDz7
imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,222072,spotify:track:1kcwpPDQnqEqmezzXdJTCP
The Albatross,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,183878,spotify:track:4EF6IyONolQy0bIQXm2EmX
Chloe or Sam or Sophia or Marcus,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,213281,spotify:track:1rmEsOezwf2lmIZTMAO5Ag
No One Mourns the Wicked,"Wicked Movie Cast, Ariana Grande, Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke, Jenna Boyd",Wicked: The Soundtrack,https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c,447991,spotify:track:0br9vcQnqeqp9PKCGsrxAF
Dear Old Shiz,"Wicked Movie Cast, Shiz University Choir, Ariana Grande",Wicked: The Soundtrack,https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c,71734,spotify:track:4HAhrqmjZ6ltgVdPF8K6wn
The Wizard And I,"Cynthia Erivo, Michelle Yeoh",Wicked: The Soundtrack,https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c,336858,spotify:track:4mxj6SQ7BxfQ90CBTbxcwH
